Disease/Trait	Reported Gene(s)	Mapped_gene	Chr_pos	Reported Gene(s)	Strongest SNP-Risk Allele	SNPs
Heart failure	KIAA1598	HSPA12A	116816095	KIAA1598	rs740363-?	rs740363
Mortality in heart failure	CMTM7	CMTM7	32447042	CMTM7	rs12638540-G	rs12638540
Mortality in heart failure	LPHN1	ADGRL1 - ADGRE5	14240762	LPHN1	rs4528684-T	rs4528684
Mortality in heart failure	OTUD7A	OTUD7A	31537504	OTUD7A	rs2125623-C	rs2125623
Mortality in heart failure	LOC338797	RPS6P20 - RPS6P21	131378358	LOC338797	rs7965445-A	rs7965445
Mortality in heart failure	GPM6A	GPM6A	175937875	GPM6A	rs7687921-T	rs7687921
Mortality in heart failure	PARVA	PARVA	12447850	PARVA	rs7120489-A	rs7120489
Mortality in heart failure	KCNMA1	RNA5SP321 - RBBP6P1	77684995	KCNMA1	rs4979906-G	rs4979906
Mortality in heart failure	IFRD1	IFRD1	112446278	IFRD1	rs17159640-T	rs17159640
Mortality in heart failure	ADAMTS12	ADAMTS12	33636489	ADAMTS12	rs6868223-A	rs6868223
Mortality in heart failure	LOC400804	C1orf140 - DUSP10	221378197	LOC400804	rs12733856-A	rs12733856
Mortality in heart failure	KCNK13	GLRXP2 - PSMC1	90213566	KCNK13	rs8017423-T	rs8017423
Heart failure	USP3	CA12 - USP3	63445726	USP3	rs10519210-?	rs10519210
Heart failure	LRIG3	RPL21P103 - LRIG3	58865846	LRIG3	rs11172782-?	rs11172782
Heart failure	LOC100129376	HLX-AS1	220855166	LOC100129376	rs11118620-?	rs11118620
Heart failure	BCHE	SLITRK3 - BCHE	165562421	BCHE	rs1523288-?	rs1523288
Heart failure	EVX1	RPL35P4 - EIF4HP1	27290437	EVX1	rs13225783-?	rs13225783
Heart failure	SNX16	HNRNPA1P4 - RALYL	82756885	SNX16	rs6473383-?	rs6473383
Heart failure	MOBKL2B	IFNK - C9orf72	27533986	MOBKL2B	rs10812610-?	rs10812610
Heart failure	CH25H	MIR4679-1 - CH25H	89204857	CH25H	rs11203032-?	rs11203032
Heart failure	PRICKLE1	RPS27P21 - MRPS36P5	42859612	PRICKLE1	rs1520832-?	rs1520832
Heart failure	TBC1D4	SSR1P2 - CTAGE11P	75202132	TBC1D4	rs548097-?	rs548097
Heart failure	GNA15	GNA15	3159771	GNA15	rs11880198-?	rs11880198
Heart failure	LOC339760	GYPC - BIN1	126905321	LOC339760	rs13418717-?	rs13418717
Heart failure	SH3GL2	PABPC1P11 - PUS7P1	18109237	SH3GL2	rs2210327-?	rs2210327
Heart failure	RPUSD4	NAP1L1P1 - RPUSD4	126158822	RPUSD4	rs563519-?	rs563519
Heart failure	TMTC1	RPL21P99 - RNA5SP356	29951209	TMTC1	rs2046383-?	rs2046383
Heart failure	BTG1	DCN - C12orf79	91911494	BTG1	rs17019682-?	rs17019682
Coronary heart disease	PPP1R12B	PPP1R12B	202500595	PPP1R12B	rs12734338-G	rs12734338
Coronary heart disease	intergenic	PITX2 - MIR297	110812980	intergenic	rs3853444-G	rs3853444
Coronary heart disease	UBE2Q2P1	UBE2Q2P1	84545426	UBE2Q2P1	rs3883013-G	rs3883013
Coronary heart disease	intergenic	SPRY4 - RPS12P10	142484039	intergenic	rs17577085-?	rs17577085
Coronary heart disease	intergenic	WDR86-AS1 - CRYGN	151423862	intergenic	rs13232179-A	rs13232179
Coronary heart disease	intergenic	LINC00333	84480131	intergenic	rs9546711-A	rs9546711
Heart rate variability traits	NEIL3	NEIL3 - AGA	177397037	NEIL3	rs1395479-?	rs1395479
Heart rate variability traits	DCAMKL1	DCLK1	36089165	DCAMKL1	rs9315385-?	rs9315385
Coronary heart disease	KIAA1462	KIAA1462	30027143	KIAA1462	rs3739998-C	rs3739998
Resting heart rate	GJA1	RPL23AP48 - HMGB3P18	121824888	GJA1	rs9398652-A	rs9398652
Resting heart rate	MYH6	MYH6	23396676	MYH6	rs452036-A	rs452036
Resting heart rate	"MYH7, NDNG"	NGDN - THTPA	23507801	"MYH7, NDNG"	rs223116-A	rs223116
Resting heart rate	intergenic	KNOP1P1 - RPL21P102	24617944	intergenic	rs17287293-G	rs17287293
Resting heart rate	SLC35F1	SLC35F1	118252898	SLC35F1	rs281868-G	rs281868
Resting heart rate	SLC12A9	SLC12A9	100855586	SLC12A9	rs314370-C	rs314370
Resting heart rate	UFSP1	"SRRT, UFSP1"	100889133	UFSP1	rs12666989-C	rs12666989
Resting heart rate	FADS1	FADS1	61803311	FADS1	rs174547-C	rs174547
Resting heart rate	CD34	CD34 - PLXNA2	207955377	CD34	rs2745967-G	rs2745967
Resting heart rate	GJA1	HMGN2P29 - GJA1	121427396	GJA1	rs11154022-A	rs11154022
Resting heart rate	CANX	CANX	179708814	CANX	rs6893300-C	rs6893300
Resting heart rate	MAML1	MAML1	179741096	MAML1	rs17617068-T	rs17617068
Conotruncal heart defects	AC139712.2	ZNF863P - MIR4431	52478914	AC139712.2	rs6545278-?	rs6545278
Conotruncal heart defects	AC079612.1	MIR2467 - LOC401040	239522359	AC079612.1	rs6706785-?	rs6706785
Conotruncal heart defects	PAPPA	PAPPA	116194389	PAPPA	rs436582-?	rs436582
Conotruncal heart defects	AL355500.2	GLRX3 - MIR378C	130548836	AL355500.2	rs11017328-?	rs11017328
Conotruncal heart defects	AL160192.2	RPL9P6 - EIF3LP1	81871321	AL160192.2	rs1959122-?	rs1959122
Conotruncal heart defects	AC005224.1	COX10 - CDRT15	14213965	AC005224.1	rs12150130-?	rs12150130
Conotruncal heart defects	SMCHD1Â 	SMCHD1	2739735	SMCHD1Â 	rs11872184-?	rs11872184
Conotruncal heart defects	AL121911.1	CASC20 - BMP2	6601515	AL121911.1	rs6140038-?	rs6140038
Conotruncal heart defects	KCNJ4	KCNJ4	38436107	KCNJ4	rs2267386-?	rs2267386
Coronary heart disease	MTHFD1L	MTHFD1L	150931849	MTHFD1L	rs6922269-A	rs6922269
Coronary heart disease	pseudogene	NYAP2 - MIR5702	226203364	pseudogene	rs2943634-C	rs2943634
Coronary heart disease	"CDKN2A, CDKN2B"	UBA52P6 - DMRTA1	22125504	"CDKN2A, CDKN2B"	rs1333049-C	rs1333049
Coronary heart disease	intergenic	FMN2	240282296	intergenic	rs17672135-T	rs17672135
Coronary heart disease	intergenic	SEZ6L	26293669	intergenic	rs688034-T	rs688034
Coronary heart disease	intergenic	CDH13	83178793	intergenic	rs8055236-G	rs8055236
Coronary heart disease	MIA3	MIA3	222650187	MIA3	rs17465637-C	rs17465637
Coronary heart disease	intergenic	UBA52P6 - DMRTA1	22125504	intergenic	rs1333049-C	rs1333049
Coronary heart disease	PSRC1	PSRC1	109279544	PSRC1	rs599839-A	rs599839
Coronary heart disease	CXCL12	LINC00841 - CXCL12	44258419	CXCL12	rs501120-T	rs501120
Coronary heart disease	SMAD3	SMAD3	67166301	SMAD3	rs17228212-C	rs17228212
Coronary heart disease	PCSK9	BSND - PCSK9	55030366	PCSK9	rs11206510-T	rs11206510
Coronary heart disease	CXCL12	LINC00841 - CXCL12	44280376	CXCL12	rs1746048-C	rs1746048
Coronary heart disease	PPAP2B	PPAP2B	56497149	PPAP2B	rs17114036-A	rs17114036
Coronary heart disease	ANKS1A	ANKS1A	35067023	ANKS1A	rs17609940-G	rs17609940
Coronary heart disease	TCF21	TCF21	133893387	TCF21	rs12190287-C	rs12190287
Coronary heart disease	ZC3HC1	ZC3HC1	130023656	ZC3HC1	rs11556924-C	rs11556924
Coronary heart disease	ABO	ABO - SURF6	133278724	ABO	rs579459-C	rs579459
Coronary heart disease	"NT5C2, CNNM2, CYP17A1"	CNNM2	102959339	"NT5C2, CNNM2, CYP17A1"	rs12413409-G	rs12413409
Coronary heart disease	"ZNF259, APOA1, APOC3, APOA4, APOA5"	ZPR1	116778201	"ZNF259, APOA1, APOC3, APOA4, APOA5"	rs964184-G	rs964184
Coronary heart disease	"COL4A1, COL4A2"		110308365	"COL4A1, COL4A2"	rs4773144-G	rs4773144
Coronary heart disease	HHIPL1	HHIPL1	99667605	HHIPL1	rs2895811-C	rs2895811
Coronary heart disease	ADAMTS7	ADAMTS7	78796769	ADAMTS7	rs3825807-A	rs3825807
Coronary heart disease	"SMG6, SRR"	SMG6	2223210	"SMG6, SRR"	rs216172-C	rs216172
Coronary heart disease	"RASD1, SMCR3, PEMT"	EEF1A1P43 - RAI1	17640408	"RASD1, SMCR3, PEMT"	rs12936587-G	rs12936587
Coronary heart disease	"SNF8, GIP, UBE2Z, ATP5G1"	UBE2Z	48911235	"SNF8, GIP, UBE2Z, ATP5G1"	rs46522-T	rs46522
Coronary heart disease	intergenic	CDKN2B-AS1	22098575	intergenic	rs4977574-G	rs4977574
Coronary heart disease	PHACTR1	PHACTR1	12888772	PHACTR1	rs1332844-T	rs1332844
Coronary heart disease	LIPA	LIPA	89243170	LIPA	rs1412444-T	rs1412444
Coronary heart disease	PDGFD	MTND1P36 - MIR4693	103789839	PDGFD	rs974819-T	rs974819
Coronary heart disease	intergenic	BCAP29	107604100	intergenic	rs10953541-C	rs10953541
Coronary heart disease	KIAA1462	KIAA1462	30046193	KIAA1462	rs2505083-C	rs2505083
Coronary heart disease	PHACTR1	PHACTR1	12903725	PHACTR1	rs9349379-?	rs9349379
Coronary heart disease	intergenic	CHRDL1	110695977	intergenic	rs5943057-?	rs5943057
Coronary heart disease	intergenic	TTC29 - MIR548G	147126398	intergenic	rs1395821-?	rs1395821
Coronary heart disease	intergenic	CYP1A1 - CYP1A2	74741059	intergenic	rs2472299-?	rs2472299
Coronary heart disease	intergenic	IMPDH1P7 - CALCRL	187331742	intergenic	rs840616-?	rs840616
Coronary heart disease	intergenic	ASIC2	33960430	intergenic	rs11650066-?	rs11650066
Coronary heart disease	intergenic	PECAM1	64330939	intergenic	rs6504218-?	rs6504218
Coronary heart disease	intergenic	TFPI	187478770	intergenic	rs7586970-?	rs7586970
Coronary heart disease	PPAP2B	PPAP2B	56500678	PPAP2B	rs17114046-?	rs17114046
Coronary heart disease	intergenic	HEMGN - ANP32B	97977842	intergenic	rs4743150-?	rs4743150
Coronary heart disease	SORT1	PSRC1	109279544	SORT1	rs599839-A	rs599839
Coronary heart disease	MIA3	MIA3	222650187	MIA3	rs17465637-C	rs17465637
Coronary heart disease	WDR12	WDR12	202881162	WDR12	rs6725887-C	rs6725887
Coronary heart disease	MRAS	MRAS	138401110	MRAS	rs2306374-C	rs2306374
