Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]
	17903304	Larson MG	2007-09-18	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903304	Framingham Heart Study 100K project: genome-wide associations for cardiovascular disease outcomes.	Heart failure	75 cases and 1,272 controls from 310 families	NA	10q25.3	10	116816095	KIAA1598	HSPA12A			259217			rs740363-?	rs740363		740363	intron	0	NR	9.0E-6	5.045757490560675				Affymetrix[70,897]
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	3p22.3	3	32447042	CMTM7	CMTM7			112616			rs12638540-G	rs12638540		12638540	intron	0	0.043	3.0E-7	6.522878745280337	(EA)	1.53	[1.01-2.31]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	19p13.12	19	14240762	LPHN1	ADGRL1 - ADGRE5	22859	976		34577	139829	rs4528684-T	rs4528684		4528684		1	0.094	1.0E-6	6.0	(EA)	1.42	[0.99-2.03]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	15q13.3	15	31537504	OTUD7A	OTUD7A			161725			rs2125623-C	rs2125623		2125623	intron	0	0.71	1.0E-6	6.0	(EA)	1.23	[0.99-1.54]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	12q24.33	12	131378358	LOC338797	RPS6P20 - RPS6P21	100271263			289122		rs7965445-A	rs7965445		7965445		1	0.098	2.0E-6	5.698970004336019	(EA)	1.3	[0.99-1.72]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	4q34.2	4	175937875	GPM6A	GPM6A			2823			rs7687921-T	rs7687921		7687921	intron	0	0.039	4.0E-6	5.3979400086720375	(EA)	1.77	[0.95-3.28]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	11p15.3	11	12447850	PARVA	PARVA			55742			rs7120489-A	rs7120489		7120489	intron	0	0.069	7.0E-6	5.154901959985743	(EA)	1.35	[0.96-1.90]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	10q22.3	10	77684995	KCNMA1	RNA5SP321 - RBBP6P1	100873587	100129156		97836	53227	rs4979906-G	rs4979906		4979906		1	0.186	7.0E-6	5.154901959985743	(EA)	1.23	[0.98-1.55]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	7q31.1	7	112446278	IFRD1	IFRD1			3475			rs17159640-T	rs17159640		17159640	intron	0	0.048	9.0E-6	5.045757490560675	(EA)	1.59	[0.94-2.68]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	5p13.3	5	33636489	ADAMTS12	ADAMTS12			81792			rs6868223-A	rs6868223		6868223	intron	0	0.338	2.0E-6	5.698970004336019	(AA)	1.58	[0.98-2.56]	Affymetrix [up to 2,366,858] (imputed)
