symbol label gmaf groupaf
ANKRD1 chr10:92678765_G 0.4336 0.421052631579
BAG3 chr10:121436068_G 0.1557 0.140350877193
DTNA chr18:32409571_C 0.2028 0.105263157895
OXTR chr3:8788096_C 0.0701 0.0701754385965
TTN chr2:179611851_T 0.0449 0.0175438596491
CAMK2A chr5:149602280_C 0.3146 0.245614035088
TNNT2 chr1:201342862_T 0.3223 0.0526315789474
TRDN chr6:123699019_C 0.1493 0.105263157895
ABCC9 chr12:22015768_A 0.3709 0.245614035088
ANK2 chr4:114269168_T 0.2701 0.0701754385965
TTN chr2:179609978_C 0.0929 0.280701754386
RYR2 chr1:237551376_T 0.4107 0.19298245614
MYPN chr10:69959320_A 0.0023 0.0701754385965
RYR2 chr1:237586196_T 0.1946 0.0175438596491
RYR2 chr1:237951451_A 0.3782 0.491228070175
OXTR chr3:8787220_C 0.1644 0.0701754385965
TTN chr2:179454394_G 0.4528 0.298245614035
KCNJ5 chr11:128788889_A 0.1593 0.0701754385965
CACNA1C chr12:2760708_G 0.3164 0.263157894737
RYR2 chr1:237527711_A 0.0064 0.0175438596491
RYR2 chr1:237730169_C 0.0714 0.0350877192982
SCN5A chr3:38647642_T 0.1461 0.19298245614
LMNA chr1:156108976_C 0.1543 0.0175438596491
SLMAP chr3:57885926_A 0.3590 0.0350877192982
RYR2 chr1:237954545_G 0.3860 0.0175438596491
DSC2 chr18:28649215_G 0.1900 0.122807017544
TRDN chr6:123673455_G 0.0467 0.105263157895
TTN chr2:179605705_G 0.0902 0.280701754386
RYR2 chr1:237996077_A 0.0050 0.0175438596491
