"Gene Map Search - 'heart, ion channels, Coronary, Cardiac, cardiomyopathy, Myocardial'"										
Downloaded:	"Jan 12, 2016"									
"Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only."										
Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Comments	Phenotype	Phenotype MIM number	Inheritance (in progress)	Pheno map key	Mouse Gene (from MGI)
1p36.33	1:1280414-1292028	SCNN1D	"Sodium channel, voltage-gated, type I, delta polypeptide"	601328						
1p36.32	1:3068226-3438620	"PRDM16, MEL1, LVNC8, CMD1LL"	PR domain-containing protein 16	605557		Left ventricular noncompaction 8	615373	Autosomal dominant	3	Prdm16
1p36.32	1:3068226-3438620	"PRDM16, MEL1, LVNC8, CMD1LL"	PR domain-containing protein 16	605557		"Cardiomyopathy, dilated, 1LL"	615373	Autosomal dominant	3	Prdm16
1p36.31	1:5992297-6101192	"KCNAB2, KCNA2B"	"Potassium voltage-gated channel, shaker-related subfamily, beta member 2"	601142					Kcnab2	
1p36.22	1:11806095-11843143	CLCN6	Chloride channel 6	602726					Clcn6	
1p36.13	1:16021990-16034049	CLCNKA	"Chloride channel, kidney, A"	602024	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB	"Bartter syndrome, type 4b, digenic"	613090	Digenic recessive	3	Clcnkb
1p36.13	1:16043735-16057325	CLCNKB	"Chloride channel, kidney, B"	602023	unequal crossingover with CLCNKA	"Bartter syndrome, type 4b, digenic"	613090	Digenic recessive	3	Clcnka
1p36.13	1:16043735-16057325	CLCNKB	"Chloride channel, kidney, B"	602023	unequal crossingover with CLCNKA	"Bartter syndrome, type 3"	607364	Autosomal recessive	3	Clcnka
1p36.12	1:21217246-21345540	ECE1	Endothelin converting enzyme 1	600423		"{Hypertension, essential, susceptibility to}"	145500	Multifactorial	3	Ece1
1p36.12	1:21217246-21345540	ECE1	Endothelin converting enzyme 1	600423		"Hirschsprung disease, cardiac defects, and autonomic dysfunction"	613870		3	Ece1
1p36.11	1:26190586-26202541	CATSPER4	"Cation channel, sperm-associated, 4"	609121					Catsper4	
1p34.2	1:40784011-40840451	"KCNQ4, DFNA2A"	"Potassium voltage-gated channel, KQT-like subfamily, member 4"	603537		"Deafness, autosomal dominant 2A"	600101	Autosomal dominant	3	Kcnq4
1p32.3	1:53242363-53328148	"LRP8, APOER2, MCI1"	Low density lipoprotein receptor-related protein 8 (Apolipoportein E receptor 2)	602600		"{Myocardial infarction, susceptibility to}"	608446		3	Lrp8
